"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,173,"PSE","Palestina",1,"Gaza",1,"Deir Al-Balah","Governorate","Governorate",NA,NA
2,173,"PSE","Palestina",1,"Gaza",2,"Gaza ash Shamaliyah","Governorate","Governorate",NA,"North Gaza"
3,173,"PSE","Palestina",1,"Gaza",3,"Gaza","Governorate","Governorate",NA,NA
4,173,"PSE","Palestina",1,"Gaza",4,"Khan Yunis","Governorate","Governorate",NA,NA
5,173,"PSE","Palestina",1,"Gaza",5,"Rafah","Governorate","Governorate",NA,NA
6,173,"PSE","Palestina",2,"West Bank",6,"Bethlehem","Governorate","Governorate",NA,NA
7,173,"PSE","Palestina",2,"West Bank",7,"Hebron","Governorate","Governorate",NA,NA
8,173,"PSE","Palestina",2,"West Bank",8,"Jenin","Governorate","Governorate",NA,NA
9,173,"PSE","Palestina",2,"West Bank",9,"Jericho","Governorate","Governorate",NA,NA
10,173,"PSE","Palestina",2,"West Bank",10,"Jerusalem","Governorate","Governorate",NA,NA
11,173,"PSE","Palestina",2,"West Bank",11,"Nablus","Governorate","Governorate",NA,"Nabulus"
12,173,"PSE","Palestina",2,"West Bank",12,"Qalqilya","Governorate","Governorate",NA,NA
13,173,"PSE","Palestina",2,"West Bank",13,"Ramallah and Al-Bireh","Governorate","Governorate",NA,NA
14,173,"PSE","Palestina",2,"West Bank",14,"Salfit","Governorate","Governorate",NA,NA
15,173,"PSE","Palestina",2,"West Bank",15,"Tubas","Governorate","Governorate",NA,NA
16,173,"PSE","Palestina",2,"West Bank",16,"Tulkarm","Governorate","Governorate",NA,NA
